tconst,nconst,category,titleType,primaryTitle,startYear,difficulty,primaryName
tt0012349,nm0088471,actor,movie,The Kid,1921,3,B.F. Blinn
tt0012349,nm0000122,actor,movie,The Kid,1921,3,Charles Chaplin
tt0015864,nm0000122,actor,movie,The Gold Rush,1925,3,Charles Chaplin
tt0021749,nm0000122,actor,movie,City Lights,1931,3,Charles Chaplin
tt0027977,nm0000122,actor,movie,Modern Times,1936,3,Charles Chaplin
tt0032553,nm0000122,actor,movie,The Great Dictator,1940,3,Charles Chaplin
tt0012349,nm0701012,actress,movie,The Kid,1921,3,Edna Purviance
tt0012349,nm0001067,actor,movie,The Kid,1921,3,Jackie Coogan
tt0012349,nm0588033,actor,movie,The Kid,1921,3,Carl Miller
tt0012349,nm0042317,actor,movie,The Kid,1921,3,Albert Austin
tt0012349,nm0047800,actress,movie,The Kid,1921,3,Beulah Bains
tt0012349,nm0048798,actress,movie,The Kid,1921,3,Nellie Bly Baker
tt0012349,nm0074788,actor,movie,The Kid,1921,3,Henry Bergman
tt0015864,nm0074788,actor,movie,The Gold Rush,1925,3,Henry Bergman
tt0027977,nm0074788,actor,movie,Modern Times,1936,3,Henry Bergman
tt0012349,nm0080930,actor,movie,The Kid,1921,3,Edward Biby
tt0013442,nm0002302,composer,movie,Nosferatu,1922,3,James Bernard
tt0013442,nm0775180,actor,movie,Nosferatu,1922,3,Max Schreck
tt0013442,nm0334603,actor,movie,Nosferatu,1922,3,Alexander Granach
tt0013442,nm0903194,actor,movie,Nosferatu,1922,3,Gustav von Wangenheim
tt0013442,nm0775659,actress,movie,Nosferatu,1922,3,Greta Schröder
tt0013442,nm0003638,director,movie,Nosferatu,1922,3,F.W. Murnau
tt0013442,nm0301961,writer,movie,Nosferatu,1922,3,Henrik Galeen
tt0013442,nm0831290,writer,movie,Nosferatu,1922,3,Bram Stoker
tt0103874,nm0831290,writer,movie,Bram Stoker's Dracula,1992,3,Bram Stoker
tt0013442,nm0225868,producer,movie,Nosferatu,1922,3,Enrico Dieckmann
tt0013442,nm0336057,producer,movie,Nosferatu,1922,3,Albin Grau
tt0015864,nm1027682,actor,movie,The Gold Rush,1925,3,Frank Aderias
tt0015864,nm0841501,actor,movie,The Gold Rush,1925,3,Mack Swain
tt0015864,nm0615306,actor,movie,The Gold Rush,1925,3,Tom Murray
tt0015864,nm0675356,composer,movie,The Gold Rush,1925,3,William P. Perry
tt0015864,nm0005906,cinematographer,movie,The Gold Rush,1925,3,Roland Totheroh
tt0021749,nm0005906,cinematographer,movie,City Lights,1931,3,Roland Totheroh
tt0027977,nm0005906,cinematographer,movie,Modern Times,1936,3,Roland Totheroh
tt0032553,nm0005906,cinematographer,movie,The Great Dictator,1940,3,Roland Totheroh
tt0015864,nm0906618,actor,movie,The Gold Rush,1925,3,Malcolm Waite
tt0015864,nm0354913,actress,movie,The Gold Rush,1925,3,Georgia Hale
tt0015864,nm1033900,actor,movie,The Gold Rush,1925,3,Jack Adams
tt0017136,nm2111404,composer,movie,Metropolis,1927,3,Sandro Forte
tt0017136,nm0375609,actress,movie,Metropolis,1927,3,Brigitte Helm
tt0017136,nm0002154,actor,movie,Metropolis,1927,3,Alfred Abel
tt0017136,nm0297054,actor,movie,Metropolis,1927,3,Gustav Fröhlich
tt0017136,nm0459030,actor,movie,Metropolis,1927,3,Rudolf Klein-Rogge
tt0017136,nm0000485,director,movie,Metropolis,1927,3,Fritz Lang
tt0022100,nm0000485,director,movie,M,1931,3,Fritz Lang
tt0017136,nm0902376,writer,movie,Metropolis,1927,3,Thea von Harbou
