Zamitar,1,10.000000
Junk,2,10.000000
David Dickinson's Antique Chase,1,10.000000
Baseball Mania,1,10.000000
Medieval Warfare,1,10.000000
Retinue: Medieval Skirmish Rules,4,10.000000
Cowgirls,1,10.000000
Damon Hill Motorsport Board Game,1,10.000000
The Communication in Catan,3,10.000000
Rumble,1,10.000000
TerroriXico,43,9.930233
The World's Greatest Travel Game,2,9.750000
Moonshine Empire,25,9.700000
Aeolis,13,9.692308
Frontier: The Card Game,26,9.692308
Dungeon Crusade: Book I – Genesis of Evil,15,9.666667
Dungeon Universalis,79,9.666329
Jack's Friends,8,9.625000
Winning Ways for Your Mathematical Plays,7,9.553791
Western Empires,28,9.507143
Merit: The Catholic Game,2,9.500000
FNG,2,9.500000
MegaMetroCity,13,9.480769
Animator vs Animation,17,9.470588
Gunfights & Gamblin',20,9.450000
King of Indecision,23,9.434783
Global War 1939,10,9.420000
Charge! or How to Play War Games,5,9.400000
Lock 'n Load Tactical: Heroes in Defiance,5,9.400000
Dice Masters,13,9.384615
Road to Washington,4,9.375000
Conqueror: Final Conquest,16,9.350000
Clutch Baseball,23,9.347826
World At War 85: Storming the Gap,47,9.344681
High Frontier 4 All,6,9.333333
Roller Rumble,6,9.333333
Gämsh Alpin,3,9.333333
Mother's Helper,3,9.333333
The Way to Play,3,9.333333
Wolsung Steampunk Skirmish Game,3,9.333333
Drinks & Daggers,45,9.311111
Inside Pitch Baseball,11,9.309091
Counter Attack,34,9.304412
DiceWar: Roots of Mali Standalone,10,9.300000
Sea of Plunder,16,9.296875
Jurassic World Miniature Game,7,9.285714
Wizard Thieves,30,9.283333
Sovereign Chess,18,9.277778
Ciudad de Cartón,22,9.272727
RPGQuest: A Jornada do Herói,11,9.272727
Relicblade: Adventure Battle Game,13,9.269231
Gladiatoris,7,9.257143
FootClub,12,9.250000
Teenage Mutant Ninja Turtles Adventures: Change is Constant,16,9.243750
Twistocity,29,9.241379
Heroes & Treasure,17,9.235294
Victory By Any Means: Campaign Moderator's Companion,5,9.200000
In Clouds of Glory,5,9.200000
Skytear,69,9.194203
Star Fleet Battles: Captain's Yeoman – Captains Module A+,4,9.175000
Core Space,76,9.143421
Worldwide Football,7,9.142857
Evil Dead 2: The Board Game,16,9.135375
Wizardz Bluff,30,9.133333
Moonstone,15,9.133333
Gelato Mio,10,9.130100
Thug Life: the Game,27,9.129630
Alien 51: El ascensor,9,9.111111
Infinity Defiance,19,9.105263
Connection Games,20,9.100000
Valknut,17,9.094118
War Titans: Invaders Must Die!,23,9.086957
ATS: The Fuhrers Bunker – Berlin Red Victory,6,9.083333
Aeon's End: The New Age,52,9.078269
Doctor Who: Solitaire Story Game (Second Edition),41,9.076829
Crimopolis,14,9.071429
