Dungeon Universalis,79,8.681246
TerroriXico,43,8.352623
Core Space,76,8.279899
Skytear,69,8.254334
Goblin Grapple,88,8.173812
Clank! Legacy: Acquisitions Incorporated,72,8.152301
War of the Ring: Second Edition,74,8.106112
Techno Bowl: Arcade Football Unplugged,80,8.081592
World At War 85: Storming the Gap,47,8.078523
Power Rangers: Heroes of the Grid,73,8.037494
Drinks & Daggers,45,8.024890
Arena: The Contest,59,8.018754
X-ODUS: Rise of the Corruption,66,7.993528
Aeon's End: The New Age,52,7.987209
Codex: Card-Time Strategy – Deluxe Set,78,7.978560
Gaia Project,73,7.978103
Aristeia!,72,7.962066
Agricola (Revised Edition),77,7.958338
Too Many Bones,67,7.930955
Exceed Fighting System,70,7.918574
1817,71,7.917897
"The Greatest Day: Sword, Juno, and Gold Beaches – Battle for Normandy: Volume One",59,7.886737
Pandemic Legacy: Season 1,78,7.878359
Twilight Struggle,83,7.873228
Brass: Birmingham,67,7.863729
Nemesis,76,7.857383
Fallen Land: A Post Apocalyptic Board Game,81,7.854791
Tsukuyumi: Full Moon Down,54,7.850398
Terraforming Mars,85,7.849771
Gloomhaven: Jaws of the Lion,57,7.829213
Red Barricades: ASL Historical Module 1,69,7.823673
Mythic Battles: Pantheon,68,7.823406
Great War Commander,66,7.818619
Doctor Who: Solitaire Story Game (Second Edition),41,7.818250
The Edge: Dawnfall,64,7.817511
Gloomhaven,81,7.815287
"DAK2: The Campaign in North Africa, 1940-1942",66,7.814035
Concordia,84,7.807892
High Frontier (Third Edition),57,7.804609
VektoRace,56,7.802578
Counter Attack,34,7.801595
Pax Pamir (Second Edition),68,7.798096
Dien Bien Phu: The Final Gamble,62,7.797323
Gaslands: Post-Apocalyptic Vehicular Combat,72,7.792213
The Castles of Burgundy,86,7.789283
Guards of Atlantis II: Tabletop MOBA,46,7.788907
Combat Commander: Mediterranean,56,7.787297
Darklight: Memento Mori,71,7.785724
Through the Ages: A New Story of Civilization,80,7.783174
Summoner Wars: Alliances Master Set,70,7.783092
Frontier: The Card Game,26,7.767236
Hannibal & Hamilcar,54,7.765665
Too Many Bones: Undertow,48,7.761123
Beyond Valor: ASL Module 1,59,7.760313
Valor of the Guards: ASL Historical Module Number 7,47,7.749636
Concordia Venus,69,7.748710
Austerlitz 1805: Rising Eagles,53,7.746664
War Room,53,7.746424
Western Empires,28,7.744379
The Shores of Tripoli,69,7.742723
Axis Empires: Totaler Krieg!,68,7.741175
Moonshine Empire,25,7.735949
Era of Tribes,71,7.727726
Rangers of Shadow Deep,46,7.723447
Warangel,84,7.719155
Code of Bushido: ASL Module 8,58,7.719132
Space Hulk (Fourth Edition),61,7.716315
Human Punishment: Social Deduction 2.0,80,7.716225
Twilight Imperium (Third Edition): Shattered Empire,73,7.715389
Rival Restaurants,61,7.713032
For King and Country: ASL module 5a,55,7.711606
Whistling Death,77,7.711556
Twilight Imperium (Fourth Edition),80,7.708977
Time of Legends: Joan of Arc,51,7.708490
Enemy Action: Ardennes,59,7.707730
Cthulhu Wars,75,7.707505
On Mars,55,7.703290
Spirit Island,78,7.699363
Napoleon's Triumph,78,7.696687
A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,58,7.696503
Wizard Thieves,30,7.691569
1889: History of Shikoku Railways,86,7.686862
