!dentity Crisis?,52.60,9,5.844444
#MyLife,40.00,7,5.714286
&Cetera,226.50,31,7.306452
'65: Squad-Level Combat in the Jungles of Vietnam,304.50,40,7.612500
"'CA' Tactical Naval Warfare in the Pacific, 1941-45",167.00,37,4.513514
'Nam Diary,30.40,5,6.080000
*Star,159.60,20,7.980000
"...and then, we held hands.",424.00,69,6.144928
...und tschüss!,502.77,77,6.529481
.45 Adventure: Crimefighting Action in the Pulp Era,55.00,7,7.857143
.hack//ENEMY,170.15,30,5.671667
007 James Bond: Goldfinger,49.50,9,5.500000
007 James Bond: Live and Let Die,42.00,9,4.666667
007 James Bond: The Man with the Golden Gun,46.00,8,5.750000
007 James Bond: You Only Live Twice,15.00,3,5.000000
1 2 3 Game,9.80,3,3.266667
1 Stein + Co.,117.00,20,5.850000
1 on 1 Adventure Gamebooks: Battle for the Ancient Robot,26.00,5,5.200000
1 on 1 Adventure Gamebooks: Castle Arcania,22.50,5,4.500000
1 on 1 Adventure Gamebooks: The King Takes a Dare,14.50,2,7.250000
"1,000 Places to See Before You Die",32.500,11,2.954545
"1,2,3! Now you see me...",199.535,33,6.046515
1-2-3 OY!,3.000,1,3.000000
10,37.000,11,3.363636
10 Days in Africa,535.390,84,6.373690
10 Days in Asia,567.530,86,6.599186
10 Days in Europe,568.630,87,6.535977
10 Days in the Americas,510.400,76,6.715789
10 Days in the USA,549.770,85,6.467882
10 Dwarves,60.300,9,6.700000
10 Latidos,35.000,5,7.000000
10 Minute Heist: The Wizard's Tower,434.650,66,6.585606
10 Negritos,126.000,22,5.727273
10 Sec. Quiz,12.500,2,6.250000
10 Tage durch Deutschland,26.000,4,6.500000
10' to Kill,465.100,75,6.201333
10-Die Poker,11.000,2,5.500000
"10-Four, Good Buddy",68.500,12,5.708333
100 Acre Wood Stamp Game,26.000,5,5.200000
100 Other Games to Play on a Chessboard,20.000,3,6.666667
100 Strategic Games for Pen and Paper,61.50000,11,5.590909
100 Swords: The Gold King's Dungeon,93.00000,11,8.454545
100 Swords: The Red Dragon's Dungeon,318.74000,48,6.640417
100 Swords: The Silver Queen's Dungeon,87.50000,11,7.954545
100 Years War,32.00000,5,6.400000
100!,31.00000,5,6.200000
1000,58.50000,9,6.500000
1000 Blank White Cards,573.60000,84,6.828571
1000 Bornes Express,39.00000,6,6.500000
1000 and One Treasures,88.30000,14,6.307143
1001,100.60000,16,6.287500
1001 Karawane,76.00000,15,5.066667
101 Dalmatians Game,20.00000,4,5.000000
