,guest,hotel,discount,price,earning
0,guest_133,hotel_46,0.04,214,205.44
1,guest_3036,hotel_242,0.07,57,53.01
2,guest_3056,hotel_286,0.01,207,204.93
3,guest_1254,hotel_298,0.14,283,243.38
4,guest_1012,hotel_63,0.11,290,258.1
5,guest_3162,hotel_169,0.03,283,274.51
6,guest_2614,hotel_400,0.06,145,136.29999999999998
7,guest_1746,hotel_348,0.12,167,146.96
8,guest_3540,hotel_257,0.12,225,198.0
9,guest_875,hotel_234,0.04,211,202.56
10,guest_979,hotel_149,0.03,278,269.65999999999997
11,guest_3004,hotel_222,0.14,231,198.66
12,guest_3199,hotel_94,0.19,112,90.72
13,guest_882,hotel_80,0.17,239,198.37
14,guest_2457,hotel_97,0.02,288,282.24
15,guest_1245,hotel_10,0.09,222,202.02
16,guest_2785,hotel_34,0.06,172,161.67999999999998
17,guest_3357,hotel_75,0.03,213,206.60999999999999
18,guest_3115,hotel_167,0.05,55,52.25
19,guest_17,hotel_349,0.11,134,119.26
20,guest_3703,hotel_113,0.04,107,102.72
21,guest_1984,hotel_378,0.17,194,161.01999999999998
22,guest_2629,hotel_327,0.08,228,209.76000000000002
23,guest_3239,hotel_274,0.01,166,164.34
24,guest_24,hotel_183,0.0,154,154.0
25,guest_540,hotel_372,0.02,203,198.94
26,guest_758,hotel_39,0.03,274,265.78
27,guest_1358,hotel_385,0.1,228,205.20000000000002
28,guest_2871,hotel_115,0.18,244,200.08
29,guest_3023,hotel_349,0.02,134,131.32
30,guest_2973,hotel_45,0.0,95,95.0
31,guest_1601,hotel_44,0.08,243,223.56
32,guest_3775,hotel_255,0.05,182,172.9
33,guest_2855,hotel_217,0.19,292,236.52
34,guest_415,hotel_294,0.0,140,140.0
35,guest_1293,hotel_358,0.07,220,204.6
36,guest_2190,hotel_6,0.18,58,47.56
37,guest_413,hotel_29,0.02,145,142.1
38,guest_3069,hotel_30,0.01,102,100.98
39,guest_3274,hotel_220,0.09,159,144.69
40,guest_2623,hotel_180,0.1,224,201.6
41,guest_3059,hotel_394,0.13,291,253.17
42,guest_2865,hotel_336,0.05,235,223.25
43,guest_2490,hotel_264,0.03,153,148.41
44,guest_883,hotel_83,0.1,208,187.20000000000002
45,guest_1081,hotel_254,0.17,231,191.73
46,guest_1857,hotel_300,0.08,209,192.28
47,guest_892,hotel_278,0.02,279,273.42
48,guest_736,hotel_324,0.02,289,283.21999999999997
49,guest_863,hotel_181,0.06,108,101.52
50,guest_2119,hotel_259,0.0,219,219.0
51,guest_1366,hotel_5,0.14,298,256.28
52,guest_864,hotel_316,0.0,187,187.0
53,guest_3652,hotel_29,0.19,145,117.45
54,guest_3928,hotel_359,0.03,163,158.10999999999999
55,guest_1864,hotel_21,0.12,212,186.56
56,guest_1625,hotel_245,0.14,290,249.4
57,guest_1501,hotel_260,0.02,197,193.06
58,guest_2887,hotel_127,0.11,279,248.31
59,guest_649,hotel_247,0.13,60,52.2
60,guest_822,hotel_273,0.01,66,65.34
61,guest_1596,hotel_17,0.16,121,101.64
62,guest_985,hotel_346,0.01,175,173.25
63,guest_2867,hotel_179,0.06,171,160.73999999999998
64,guest_1348,hotel_148,0.04,206,197.76
65,guest_1687,hotel_32,0.06,172,161.67999999999998
66,guest_3436,hotel_38,0.18,135,110.7
67,guest_2370,hotel_121,0.1,56,50.4
68,guest_3615,hotel_399,0.14,284,244.24
69,guest_382,hotel_273,0.06,66,62.04
70,guest_1850,hotel_255,0.15,182,154.7
71,guest_2269,hotel_196,0.11,96,85.44
72,guest_1692,hotel_325,0.08,212,195.04000000000002
73,guest_3116,hotel_325,0.05,212,201.39999999999998
74,guest_35,hotel_129,0.19,85,68.85000000000001
75,guest_1865,hotel_80,0.09,239,217.49
76,guest_57,hotel_201,0.03,268,259.96
77,guest_2400,hotel_366,0.18,120,98.4
78,guest_3419,hotel_147,0.0,251,251.0
79,guest_3607,hotel_331,0.16,236,198.23999999999998
80,guest_1720,hotel_384,0.04,126,120.96
81,guest_3966,hotel_62,0.13,154,133.98
82,guest_1986,hotel_273,0.04,66,63.36
83,guest_2598,hotel_66,0.17,225,186.75
84,guest_1906,hotel_191,0.18,250,205.00000000000003
85,guest_256,hotel_269,0.11,127,113.03
86,guest_2240,hotel_275,0.12,159,139.92
87,guest_2639,hotel_316,0.09,187,170.17000000000002
88,guest_1147,hotel_62,0.1,154,138.6
89,guest_2816,hotel_376,0.18,238,195.16000000000003
90,guest_2289,hotel_174,0.03,72,69.84
91,guest_1435,hotel_181,0.18,108,88.56
92,guest_1959,hotel_161,0.17,193,160.19
93,guest_378,hotel_143,0.0,202,202.0
94,guest_600,hotel_17,0.17,121,100.42999999999999
95,guest_263,hotel_142,0.13,145,126.15
96,guest_1279,hotel_169,0.14,283,243.38
97,guest_728,hotel_143,0.18,202,165.64000000000001
98,guest_3228,hotel_384,0.13,126,109.62
99,guest_2208,hotel_93,0.03,285,276.45
100,guest_2371,hotel_51,0.04,140,134.4
101,guest_294,hotel_361,0.08,219,201.48000000000002
102,guest_3938,hotel_288,0.11,135,120.15
103,guest_1180,hotel_182,0.03,176,170.72
104,guest_3638,hotel_88,0.02,75,73.5
105,guest_358,hotel_360,0.09,75,68.25
106,guest_3377,hotel_222,0.07,231,214.82999999999998
107,guest_904,hotel_3,0.18,141,115.62
108,guest_169,hotel_228,0.0,196,196.0
109,guest_1315,hotel_78,0.09,149,135.59
110,guest_3225,hotel_400,0.1,145,130.5
111,guest_3774,hotel_113,0.17,107,88.81
112,guest_1750,hotel_103,0.12,241,212.08
113,guest_1404,hotel_175,0.18,120,98.4
114,guest_3558,hotel_189,0.14,73,62.78
115,guest_3182,hotel_120,0.07,66,61.379999999999995
116,guest_2827,hotel_285,0.13,208,180.96
117,guest_407,hotel_52,0.14,156,134.16
118,guest_225,hotel_11,0.15,226,192.1
119,guest_1264,hotel_110,0.03,140,135.79999999999998
120,guest_1121,hotel_155,0.17,65,53.949999999999996
121,guest_1800,hotel_132,0.16,192,161.28
122,guest_360,hotel_113,0.05,107,101.64999999999999
123,guest_1590,hotel_56,0.03,202,195.94
124,guest_1353,hotel_220,0.19,159,128.79000000000002
125,guest_1497,hotel_120,0.14,66,56.76
126,guest_617,hotel_385,0.12,228,200.64000000000001
127,guest_1709,hotel_80,0.03,239,231.82999999999998
128,guest_646,hotel_339,0.09,74,67.34
129,guest_610,hotel_142,0.01,145,143.55
130,guest_484,hotel_182,0.11,176,156.64000000000001
131,guest_2260,hotel_190,0.1,50,45.0
132,guest_733,hotel_205,0.1,183,164.70000000000002
133,guest_3850,hotel_357,0.07,176,163.67999999999998
134,guest_1165,hotel_390,0.16,165,138.6
135,guest_3165,hotel_350,0.07,56,52.08
136,guest_2823,hotel_151,0.15,183,155.54999999999998
137,guest_405,hotel_118,0.19,181,146.61
138,guest_1328,hotel_246,0.09,127,115.57000000000001
139,guest_3153,hotel_308,0.07,269,250.17
140,guest_2357,hotel_269,0.07,127,118.10999999999999
141,guest_1994,hotel_90,0.02,85,83.3
142,guest_3054,hotel_120,0.12,66,58.08
143,guest_2993,hotel_67,0.08,197,181.24
144,guest_384,hotel_354,0.09,52,47.32
145,guest_550,hotel_345,0.11,136,121.04
146,guest_1173,hotel_294,0.08,140,128.8
147,guest_2604,hotel_352,0.02,276,270.48
148,guest_1839,hotel_126,0.07,192,178.56
149,guest_527,hotel_68,0.09,154,140.14000000000001
150,guest_2880,hotel_400,0.04,145,139.2
151,guest_3632,hotel_211,0.12,102,89.76
152,guest_3764,hotel_317,0.17,127,105.41
153,guest_231,hotel_228,0.06,196,184.23999999999998
154,guest_1571,hotel_284,0.1,231,207.9
155,guest_2818,hotel_104,0.17,73,60.589999999999996
156,guest_1912,hotel_355,0.12,246,216.48
157,guest_3067,hotel_359,0.03,163,158.10999999999999
158,guest_46,hotel_331,0.13,236,205.32
159,guest_151,hotel_277,0.06,281,264.14
160,guest_3969,hotel_368,0.03,249,241.53
161,guest_82,hotel_330,0.02,83,81.34
162,guest_1841,hotel_147,0.08,251,230.92000000000002
163,guest_2474,hotel_52,0.16,156,131.04
164,guest_1123,hotel_399,0.05,284,269.8
165,guest_708,hotel_162,0.09,258,234.78
166,guest_3887,hotel_49,0.14,50,43.0
167,guest_1524,hotel_394,0.06,291,273.53999999999996
168,guest_1320,hotel_256,0.01,98,97.02
169,guest_1340,hotel_54,0.02,238,233.24
170,guest_3793,hotel_189,0.07,73,67.89
171,guest_2567,hotel_54,0.01,238,235.62
172,guest_3656,hotel_251,0.17,109,90.47
173,guest_3108,hotel_25,0.05,213,202.35
174,guest_2378,hotel_38,0.02,135,132.3
175,guest_3862,hotel_77,0.16,77,64.67999999999999
176,guest_2173,hotel_25,0.06,213,200.22
177,guest_296,hotel_393,0.09,249,226.59
178,guest_2219,hotel_23,0.11,54,48.06
179,guest_686,hotel_60,0.02,242,237.16
180,guest_1224,hotel_250,0.07,298,277.14
181,guest_929,hotel_125,0.15,117,99.45
182,guest_946,hotel_237,0.13,249,216.63
183,guest_222,hotel_159,0.15,209,177.65
184,guest_3847,hotel_114,0.08,178,163.76000000000002
185,guest_3341,hotel_319,0.02,278,272.44
186,guest_287,hotel_367,0.11,271,241.19
187,guest_564,hotel_144,0.09,59,53.690000000000005
188,guest_2646,hotel_318,0.12,146,128.48
189,guest_3943,hotel_356,0.13,208,180.96
190,guest_2529,hotel_249,0.15,57,48.449999999999996
191,guest_2007,hotel_392,0.09,210,191.1
192,guest_2386,hotel_44,0.1,243,218.70000000000002
193,guest_2784,hotel_308,0.06,269,252.85999999999999
194,guest_1134,hotel_338,0.16,133,111.72
195,guest_3053,hotel_270,0.13,273,237.51
196,guest_2412,hotel_181,0.0,108,108.0
197,guest_1665,hotel_135,0.1,66,59.4
198,guest_210,hotel_175,0.01,120,118.8
199,guest_2045,hotel_141,0.12,256,225.28
200,guest_2499,hotel_240,0.02,214,209.72
201,guest_43,hotel_58,0.19,120,97.2
202,guest_332,hotel_18,0.11,287,255.43
203,guest_1077,hotel_58,0.01,120,118.8
