,guest,hotel,net_earning,guest_satisfaction
0,guest_3411,hotel_166,207.68,4
1,guest_267,hotel_50,203.84,4
2,guest_2373,hotel_248,172.64,2
3,guest_713,hotel_203,114.0,4
4,guest_1691,hotel_60,210.54,2
5,guest_658,hotel_60,237.16,4
6,guest_1903,hotel_361,197.1,2
7,guest_543,hotel_371,141.12,3
8,guest_1570,hotel_93,230.85000000000002,2
9,guest_262,hotel_276,205.79999999999998,3
10,guest_1295,hotel_280,70.2,4
11,guest_1499,hotel_182,160.16,2
12,guest_3776,hotel_143,202.0,4
13,guest_475,hotel_50,176.79999999999998,2
14,guest_3608,hotel_355,209.1,4
15,guest_2139,hotel_60,227.48,2
16,guest_2527,hotel_363,204.93,2
17,guest_11,hotel_203,120.0,4
18,guest_1776,hotel_346,169.75,3
19,guest_1982,hotel_38,118.8,2
20,guest_2629,hotel_104,67.16,2
21,guest_2560,hotel_38,126.89999999999999,1
22,guest_92,hotel_104,61.32,4
23,guest_2486,hotel_50,183.04,2
24,guest_3096,hotel_18,284.13,2
25,guest_1101,hotel_383,156.64000000000001,4
26,guest_3162,hotel_203,116.39999999999999,2
27,guest_420,hotel_361,192.72,4
28,guest_349,hotel_290,156.4,2
29,guest_1113,hotel_337,69.75,4
30,guest_3684,hotel_50,187.20000000000002,3
31,guest_2592,hotel_203,114.0,3
32,guest_1174,hotel_321,44.82,2
33,guest_1229,hotel_355,211.56,4
34,guest_2936,hotel_60,203.28,2
35,guest_1921,hotel_304,123.2,4
36,guest_2077,hotel_143,173.72,4
37,guest_1990,hotel_258,186.01,3
38,guest_3637,hotel_101,135.88,2
39,guest_244,hotel_69,216.2,2
40,guest_870,hotel_280,71.76,3
41,guest_3921,hotel_389,84.28,2
42,guest_1420,hotel_258,202.73,2
43,guest_1863,hotel_361,199.29000000000002,3
44,guest_651,hotel_203,100.8,4
45,guest_2216,hotel_132,174.72,2
46,guest_792,hotel_392,210.0,3
47,guest_1811,hotel_321,53.46,1
48,guest_3655,hotel_389,97.02,2
49,guest_2651,hotel_143,173.72,4
50,guest_1641,hotel_346,168.0,3
51,guest_2762,hotel_18,235.34000000000003,4
52,guest_132,hotel_248,174.72,2
53,guest_681,hotel_203,111.6,2
54,guest_2920,hotel_182,167.2,4
55,guest_1484,hotel_280,72.53999999999999,3
56,guest_2851,hotel_182,168.95999999999998,4
57,guest_1664,hotel_224,70.67999999999999,2
58,guest_1232,hotel_18,284.13,2
59,guest_1285,hotel_50,170.56,2
60,guest_548,hotel_18,275.52,2
61,guest_742,hotel_337,67.5,3
62,guest_1185,hotel_276,208.25,3
63,guest_1337,hotel_165,98.94,4
64,guest_1648,hotel_270,259.34999999999997,2
65,guest_1576,hotel_383,160.20000000000002,3
66,guest_919,hotel_389,89.18,4
67,guest_1434,hotel_337,68.25,4
68,guest_2267,hotel_50,168.48000000000002,1
69,guest_2482,hotel_361,194.91,2
70,guest_2325,hotel_389,80.36,2
71,guest_3166,hotel_185,259.34999999999997,2
72,guest_2235,hotel_290,180.32,4
73,guest_2758,hotel_337,72.75,2
74,guest_576,hotel_361,214.62,3
75,guest_1147,hotel_280,70.2,4
76,guest_770,hotel_389,92.11999999999999,2
77,guest_3017,hotel_166,207.68,2
78,guest_2412,hotel_280,78.0,2
79,guest_3379,hotel_106,249.48,2
80,guest_1264,hotel_389,95.06,4
81,guest_1625,hotel_11,194.35999999999999,1
82,guest_2733,hotel_349,129.98,2
83,guest_1450,hotel_53,53.76,3
84,guest_3084,hotel_248,201.76,3
85,guest_2822,hotel_38,125.55,4
86,guest_955,hotel_328,179.4,4
87,guest_1587,hotel_60,237.16,2
88,guest_2263,hotel_50,183.04,4
89,guest_912,hotel_309,102.47999999999999,1
90,guest_2698,hotel_363,188.37,2
91,guest_3586,hotel_132,190.07999999999998,4
92,guest_2366,hotel_389,79.38000000000001,3
93,guest_2275,hotel_383,153.07999999999998,2
94,guest_1114,hotel_183,127.82,4
95,guest_1028,hotel_276,213.15,3
96,guest_3438,hotel_114,170.88,3
97,guest_3883,hotel_315,221.0,1
98,guest_3633,hotel_150,66.42,4
99,guest_1580,hotel_337,65.25,2
100,guest_3541,hotel_227,194.97,4
101,guest_2725,hotel_346,152.25,1
102,guest_659,hotel_104,61.32,2
103,guest_2502,hotel_69,188.60000000000002,3
104,guest_133,hotel_19,108.47999999999999,3
105,guest_3279,hotel_375,235.84,2
106,guest_3880,hotel_258,188.1,4
107,guest_3720,hotel_290,169.28,2
108,guest_2391,hotel_355,246.0,1
109,guest_152,hotel_104,73.0,2
110,guest_2033,hotel_245,266.8,3
111,guest_2491,hotel_210,162.75,3
112,guest_1148,hotel_143,202.0,2
113,guest_1891,hotel_276,227.85,1
114,guest_1302,hotel_166,231.28,4
115,guest_2543,hotel_315,216.57999999999998,4
116,guest_1065,hotel_104,59.13,4
117,guest_3040,hotel_258,169.29000000000002,1
118,guest_2119,hotel_26,55.0,2
119,guest_2226,hotel_258,196.45999999999998,2
120,guest_573,hotel_276,230.29999999999998,2
121,guest_3523,hotel_143,173.72,4
122,guest_3455,hotel_346,147.0,3
123,guest_1469,hotel_346,141.75,3
124,guest_3690,hotel_389,83.3,2
125,guest_1404,hotel_315,181.22000000000003,4
126,guest_3878,hotel_389,90.16000000000001,3
127,guest_2278,hotel_143,163.62,3
128,guest_68,hotel_355,236.16,3
129,guest_2972,hotel_104,67.16,2
130,guest_3289,hotel_104,59.86000000000001,4
131,guest_3281,hotel_270,267.54,2
132,guest_2647,hotel_290,149.04000000000002,2
133,guest_3067,hotel_161,187.21,1
134,guest_50,hotel_221,167.45,4
135,guest_2483,hotel_101,127.98,3
136,guest_3554,hotel_346,175.0,4
137,guest_2143,hotel_131,234.35999999999999,4
138,guest_1057,hotel_143,185.84,3
139,guest_1647,hotel_104,66.43,3
140,guest_3583,hotel_355,236.16,4
141,guest_3416,hotel_104,65.7,2
142,guest_1909,hotel_235,111.52000000000001,4
143,guest_971,hotel_248,191.36,2
144,guest_2474,hotel_60,203.28,3
145,guest_3855,hotel_276,237.65,4
146,guest_3492,hotel_267,224.46,2
147,guest_33,hotel_315,194.48,4
148,guest_3212,hotel_280,70.98,2
149,guest_1136,hotel_118,175.57,4
150,guest_592,hotel_355,199.26000000000002,2
151,guest_3004,hotel_288,116.1,1
152,guest_692,hotel_280,67.86,4
153,guest_1602,hotel_318,138.7,3
154,guest_996,hotel_18,243.95,1
155,guest_2219,hotel_138,188.68,3
156,guest_2241,hotel_346,169.75,4
157,guest_2187,hotel_143,195.94,1
158,guest_19,hotel_115,226.92,3
