,guest,hotel,net_earning,guest_satisfaction
0,guest_2694,hotel_204,77.19,5
1,guest_655,hotel_56,195.94,5
2,guest_1728,hotel_364,172.48,3
3,guest_2101,hotel_191,250.0,1
4,guest_2482,hotel_157,57.85,5
5,guest_3172,hotel_297,261.0,4
6,guest_142,hotel_376,223.72,2
7,guest_900,hotel_377,155.31,3
8,guest_2607,hotel_204,77.19,2
9,guest_1040,hotel_325,199.28,2
10,guest_948,hotel_191,220.0,3
11,guest_3164,hotel_59,104.4,5
12,guest_418,hotel_235,134.64,3
13,guest_1347,hotel_247,55.8,2
14,guest_101,hotel_297,255.78,5
15,guest_1780,hotel_297,247.95,5
16,guest_1608,hotel_253,242.97,4
17,guest_382,hotel_325,199.28,3
18,guest_2699,hotel_273,65.34,2
19,guest_2437,hotel_297,255.78,5
20,guest_143,hotel_84,195.75,3
21,guest_759,hotel_313,162.87,5
22,guest_1052,hotel_339,64.38,4
23,guest_1313,hotel_149,244.64000000000001,3
24,guest_2618,hotel_32,142.76,4
25,guest_1386,hotel_377,143.62,3
26,guest_3882,hotel_119,205.85999999999999,3
27,guest_3055,hotel_162,221.88,3
28,guest_43,hotel_373,211.41000000000003,4
29,guest_3376,hotel_191,210.0,5
30,guest_3695,hotel_376,202.29999999999998,5
31,guest_1960,hotel_339,59.940000000000005,4
32,guest_1357,hotel_33,104.75999999999999,4
33,guest_3076,hotel_373,229.68,2
34,guest_1687,hotel_373,245.33999999999997,4
35,guest_2439,hotel_57,132.66,5
36,guest_1425,hotel_169,280.17,2
37,guest_2972,hotel_57,123.28,4
38,guest_1807,hotel_61,133.45,5
39,guest_2736,hotel_32,159.95999999999998,4
40,guest_876,hotel_373,258.39,3
41,guest_2511,hotel_154,204.12,5
42,guest_3699,hotel_149,255.76000000000002,5
43,guest_2236,hotel_57,108.54,2
44,guest_319,hotel_253,248.43,3
45,guest_1985,hotel_119,183.95999999999998,2
46,guest_257,hotel_169,277.34,2
